continent,country,city,airport_name,airport_code
Africa,Algeria,Aboubakr Belkaid,Aboubakr Belkaid,CFK
Africa,Algeria,Ain Arnat,Ain Arnat,QSF
Africa,Algeria,Annaba,Annaba,AAE
Africa,Algeria,Bechar,Bechar,CBH
Africa,Algeria,Biskra,Biskra,BSK
Africa,Algeria,Bordj Badji Mokhtar,Bordj Badji Mokhtar,BMW
Africa,Algeria,Bou Chekif,Bou Chekif,TID
Africa,Algeria,Cheikh Larbi Tebessi,Cheikh Larbi Tebessi,TEE
Africa,Algeria,El Bayadh,El Bayadh,EBH
Africa,Algeria,El Golea,El Golea,ELG
Africa,Algeria,Es Senia,Es Senia,ORN
Africa,Algeria,Guemar,Guemar,ELU
Africa,Algeria,Houari Boumediene,Houari Boumediene,ALG
Africa,Algeria,Illizi,Illizi,VVZ
Africa,Algeria,In Amenas,In Amenas,IAM
Africa,Algeria,In Guezzam,In Guezzam,INF
Africa,Algeria,In Salah,In Salah,INZ
Africa,Algeria,Jijel,Jijel,GJL
Africa,Algeria,Laghouat,Laghouat,LOO
Africa,Algeria,Matsu,Matsu,MZW
Africa,Algeria,Mohamed Boudiaf,Mohamed Boudiaf,CZL
Africa,Algeria,Mostepha Ben Boulaid,Mostepha Ben Boulaid,BLJ
Africa,Algeria,Noumerate,Noumerate,GHA
Africa,Algeria,Ouargla,Ouargla,OGX
Africa,Algeria,Oued Irara,Oued Irara,HME
Africa,Algeria,Sidi Mahdi,Sidi Mahdi,TGR
Africa,Algeria,Soummam,Soummam,BJA
Africa,Algeria,Tamanrasset,Tamanrasset,TMR
Africa,Algeria,Timimoun,Timimoun,TMX
Africa,Algeria,Tindouf,Tindouf,TIN
Africa,Algeria,Tiska,Tiska,DJG
Africa,Algeria,Touat Cheikh Sidi Mohamed Belkebir,Touat Cheikh Sidi Mohamed Belkebir,AZR
Africa,Algeria,Zenata,Zenata,TLM
Africa,Angola,Benguela,Benguela,BUG
Africa,Angola,Cabinda,Cabinda,CAB
Africa,Angola,Catumbela,Catumbela,CBT
Africa,Angola,Dr Antonio Agostinho Neto,Dr Antonio Agostinho Neto,NBJ
Africa,Angola,Dundo,Dundo,DUE
Africa,Angola,Huambo,Huambo,NOV
Africa,Angola,Kuito,Kuito,SVP
Africa,Angola,Luanda 4 De Fevereiro,Luanda 4 De Fevereiro,LAD
Africa,Angola,Lubango,Lubango,SDD
Africa,Angola,Luena,Luena,LUO
Africa,Angola,Menongue,Menongue,SPP
Africa,Angola,Namibe,Namibe,MSZ
Africa,Angola,Ondjiva Pereira,Ondjiva Pereira,VPE
Africa,Angola,Saurimo,Saurimo,VHC
Africa,Angola,Soyo,Soyo,SZA
Africa,Benin,Cotonou Cadjehoun,Cotonou Cadjehoun,COO
Africa,Botswana,Francistown,Francistown,FRW
Africa,Botswana,Kasane,Kasane,BBK
Africa,Botswana,Maun,Maun,MUB
Africa,Botswana,Sir Seretse Khama,Sir Seretse Khama,GBE
Africa,Burkina Faso,Bobo Dioulasso,Bobo Dioulasso,BOY
Africa,Burkina Faso,Ouagadougou,Ouagadougou,OUA
Africa,Burundi,Bujumbura,Bujumbura,BJM
Africa,Cameroon,Bafoussam,Bafoussam,BFX
Africa,Cameroon,Douala,Douala,DLA
Africa,Cameroon,Garoua,Garoua,GOU
Africa,Cameroon,Maroua Salak,Maroua Salak,MVR
Africa,Cameroon,Ngaoundere,Ngaoundere,NGE
Africa,Cameroon,Yaounde Nsimalen,Yaounde Nsimalen,NSI
Africa,Cape Verde,Amilcar Cabral,Amilcar Cabral,SID
Africa,Cape Verde,Maio,Maio,MMO
Africa,Cape Verde,Praia,Praia,RAI
Africa,Cape Verde,Rabil,Rabil,BVC
Africa,Cape Verde,Sao Filipe,Sao Filipe,SFL
Africa,Cape Verde,Sao Nicolau,Sao Nicolau,SNE
Africa,Cape Verde,Sao Vicente,Sao Vicente,VXE
Africa,Côte d'Ivoire,Abidjan Felix Houphouet Boigny,Abidjan Felix Houphouet Boigny,ABJ
Africa,Côte d'Ivoire,Bouake,Bouake,BYK
Africa,Côte d'Ivoire,Korhogo,Korhogo,HGO
Africa,Côte d'Ivoire,Man,Man,MJC
Africa,Côte d'Ivoire,Odienne,Odienne,KEO
Africa,Côte d'Ivoire,San Pedro,San Pedro,SPY
Africa,Egypt,Abu Simbel,Abu Simbel,ABS
Africa,Egypt,Al Alamain,Al Alamain,DBB
Africa,Egypt,Aswan,Aswan,ASW
Africa,Egypt,Asyut,Asyut,ATZ
Africa,Egypt,Borg El Arab,Borg El Arab,HBE
Africa,Egypt,Cairo,Cairo,CAI
Africa,Egypt,Cairo Capital,Cairo Capital,CCE
Africa,Egypt,Hurghada,Hurghada,HRG
Africa,Egypt,Luxor,Luxor,LXR
Africa,Egypt,Marsa Alam,Marsa Alam,RMF
Africa,Egypt,Mersa Matruh,Mersa Matruh,MUH
Africa,Egypt,Sharm El Sheikh,Sharm El Sheikh,SSH
Africa,Egypt,Sohag,Sohag,HMB
Africa,Egypt,Sphinx,Sphinx,SPX
Africa,Egypt,Taba,Taba,TCP
Africa,Equatorial Guinea,Annobon,Annobon,NBN
Africa,Equatorial Guinea,Bata,Bata,BSG
Africa,Equatorial Guinea,Malabo,Malabo,SSG
Africa,Equatorial Guinea,Mongomeyen,Mongomeyen,GEM
Africa,Ethiopia,Aba Segud,Aba Segud,JIM
Africa,Ethiopia,Aba Tenna Dejazmatch Yilma,Aba Tenna Dejazmatch Yilma,DIR
Africa,Ethiopia,Addis Ababa Bole,Addis Ababa Bole,ADD
Africa,Ethiopia,Arba Mintch,Arba Mintch,AMH
Africa,Ethiopia,Asosa,Asosa,ASO
Africa,Ethiopia,Awasa,Awasa,AWA
Africa,Ethiopia,Axum,Axum,AXU
Africa,Ethiopia,Bahir Dar,Bahir Dar,BJR
Africa,Ethiopia,Combolcha,Combolcha,DSE
Africa,Ethiopia,Debra Marcos,Debra Marcos,DBM
Africa,Ethiopia,Dembidollo,Dembidollo,DEM
Africa,Ethiopia,Gambella,Gambella,GMB
Africa,Ethiopia,Goba,Goba,GOB
Africa,Ethiopia,Gode,Gode,GDE
Africa,Ethiopia,Gonder,Gonder,GDQ
Africa,Ethiopia,Gore,Gore,GOR
Africa,Ethiopia,Humera,Humera,HUE
Africa,Ethiopia,Indaselassie,Indaselassie,SHC
Africa,Ethiopia,Jijiga,Jijiga,JIJ
Africa,Ethiopia,Jinka,Jinka,BCO
Africa,Ethiopia,Kabri Dar,Kabri Dar,ABK
Africa,Ethiopia,Lalibella,Lalibella,LLI
Africa,Ethiopia,Mekele,Mekele,MQX
Africa,Ethiopia,Mizan Teferi,Mizan Teferi,MTF
Africa,Ethiopia,Neghelli,Neghelli,EGL
Africa,Ethiopia,Nekemt,Nekemt,NEK
Africa,Ethiopia,Semera,Semera,SZE
Africa,Ethiopia,Yabello,Yabello,BYY
Africa,Gabon,Franceville Mvengue,Franceville Mvengue,MVB
Africa,Gabon,Gamba,Gamba,GAX
Africa,Gabon,Libreville Leon M Ba,Libreville Leon M Ba,LBV
Africa,Gabon,Makokou,Makokou,MKU
Africa,Gabon,Oyem,Oyem,OYE
Africa,Gabon,Port Gentil,Port Gentil,POG
Africa,Gambia,Banjul,Banjul,BJL
Africa,Ghana,Kotoka,Kotoka,ACC
Africa,Ghana,Kumasi,Kumasi,KMS
Africa,Ghana,Takoradi,Takoradi,TKD
Africa,Ghana,Tamale,Tamale,TML
Africa,Ghana,Wa,Wa,WZA
Africa,Guinea,Conakry,Conakry,CKY
Africa,Kenya,Amboseli,Amboseli,ASV
Africa,Kenya,Angama,Angama,ANA
Africa,Kenya,Eldoret,Eldoret,EDL
Africa,Kenya,Jomo Kenyatta,Jomo Kenyatta,NBO
Africa,Kenya,Kakamega,Kakamega,GGM
Africa,Kenya,Keekorok,Keekorok,KEU
Africa,Kenya,Kisumu,Kisumu,KIS
Africa,Kenya,Kitale,Kitale,KTL
Africa,Kenya,Lamu Manda,Lamu Manda,LAU
Africa,Kenya,Lodwar,Lodwar,LOK
Africa,Kenya,Malindi,Malindi,MYD
Africa,Kenya,Mandera,Mandera,NDE
Africa,Kenya,Mara Lodges,Mara Lodges,MRE
Africa,Kenya,Mara North Airstrip,Mara North Airstrip,HKR
Africa,Kenya,Moi,Moi,MBA
Africa,Kenya,Nairobi Wilson,Nairobi Wilson,WIL
Africa,Kenya,Nanyuki,Nanyuki,NYK
Africa,Kenya,Olare,Olare,OLG
Africa,Kenya,Olkiombo,Olkiombo,OLX
Africa,Kenya,Ukunda,Ukunda,UKA
Africa,Kenya,Wajir,Wajir,WJR
Africa,Lesotho,Moshoeshoe I,Moshoeshoe I,MSU
Africa,Libya,Benina,Benina,BEN
Africa,Libya,Kufra,Kufra,AKF
Africa,Libya,La Abraq,La Abraq,LAQ
Africa,Libya,Misurata,Misurata,MRA
Africa,Libya,Mitiga,Mitiga,MJI
Africa,Libya,Sebha,Sebha,SEB
Africa,Libya,Zintan,Zintan,ZIS
Africa,Madagascar,Antananarivo Ivato,Antananarivo Ivato,TNR
Africa,Madagascar,Antsiranana Arrachart,Antsiranana Arrachart,DIE
Africa,Madagascar,Mahajanga Philibert Tsiranana,Mahajanga Philibert Tsiranana,MJN
Africa,Madagascar,Mananjary,Mananjary,MNJ
Africa,Madagascar,Maroantsetra,Maroantsetra,WMN
Africa,Madagascar,Morondava,Morondava,MOQ
Africa,Madagascar,Nosy Be Fascene,Nosy Be Fascene,NOS
Africa,Madagascar,Sambava Sud,Sambava Sud,SVB
Africa,Madagascar,Sante Marie,Sante Marie,SMS
Africa,Madagascar,Toamasina,Toamasina,TMM
Africa,Madagascar,Tolagnaro,Tolagnaro,FTU
Africa,Madagascar,Toliara,Toliara,TLE
Africa,Malawi,Chileka,Chileka,BLZ
Africa,Malawi,Kamuzu,Kamuzu,LLW
Africa,Mali,Bamako Senou,Bamako Senou,BKO
Africa,Mauritania,Nema,Nema,EMN
Africa,Mauritania,Nouadhibou,Nouadhibou,NDB
Africa,Mauritania,Nouakchott,Nouakchott,NKC
Africa,Mauritania,Tazadit,Tazadit,OUZ
Africa,Mauritius,Rodrigues Island,Rodrigues Island,RRG
Africa,Mauritius,Sir Seewoosagur Ramgoolam,Sir Seewoosagur Ramgoolam,MRU
Africa,Mayotte,Dzaoudzi Pamanzi,Dzaoudzi Pamanzi,DZA
